Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Data_value_unit,Data_value_type,LocationID,Geolocation
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1638,21.1,19.7,22.5,%,Age-adjusted Prevalence,1,"(32.840571122, -86.631860762)"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6020,78.9,77.5,80.3,%,Age-adjusted Prevalence,1,"(32.840571122, -86.631860762)"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,608,16.5,14.7,18.3,%,Age-adjusted Prevalence,2,"(64.845079957001, -147.722059036)"
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,2902,83.5,81.7,85.3,%,Age-adjusted Prevalence,2,"(64.845079957001, -147.722059036)"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1231,17.3,15.5,19.1,%,Age-adjusted Prevalence,4,"(34.86597028, -111.763811277)"
2011,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5217,82.7,80.9,84.5,%,Age-adjusted Prevalence,4,"(34.86597028, -111.763811277)"
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,970,22.9,20.8,24.9,%,Age-adjusted Prevalence,5,"(34.748650124, -92.274490743)"
2011,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3739,77.1,75.1,79.2,%,Age-adjusted Prevalence,5,"(34.748650124, -92.274490743)"
2011,CA,California,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2321,12.1,11.4,12.8,%,Age-adjusted Prevalence,6,"(37.638640123, -120.999999538)"
2011,CA,California,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,14577,87.9,87.2,88.6,%,Age-adjusted Prevalence,6,"(37.638640123, -120.999999538)"
2011,CO,Colorado,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2425,17.3,16.3,18.2,%,Age-adjusted Prevalence,8,"(38.843840757, -106.133610921)"
2011,CO,Colorado,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,11115,82.7,81.8,83.7,%,Age-adjusted Prevalence,8,"(38.843840757, -106.133610921)"
2011,CT,Connecticut,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1156,15.2,13.9,16.4,%,Age-adjusted Prevalence,9,"(41.56266102, -72.649840952)"
2011,CT,Connecticut,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5640,84.8,83.6,86.1,%,Age-adjusted Prevalence,9,"(41.56266102, -72.649840952)"
2011,DE,Delaware,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,702,14.2,12.7,15.7,%,Age-adjusted Prevalence,10,"(39.008830667, -75.577741168)"
2011,DE,Delaware,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4071,85.8,84.3,87.3,%,Age-adjusted Prevalence,10,"(39.008830667, -75.577741168)"
2011,DC,District of Columbia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,755,16.0,14.4,17.6,%,Age-adjusted Prevalence,11,"(38.890371385, -77.031961127)"
2011,DC,District of Columbia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3779,84.0,82.4,85.6,%,Age-adjusted Prevalence,11,"(38.890371385, -77.031961127)"
2011,FL,Florida,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2254,16.3,15.2,17.4,%,Age-adjusted Prevalence,12,"(28.932040377, -81.928960539)"
2011,FL,Florida,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,10057,83.7,82.6,84.8,%,Age-adjusted Prevalence,12,"(28.932040377, -81.928960539)"
2011,GA,Georgia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1491,14.7,13.6,15.8,%,Age-adjusted Prevalence,13,"(32.839681093, -83.627580346)"
